% Model:              HG36,0_completo_setoresRadiado,r_F7_30mm_ext_EspFontesCruz01_Sbg_Slg_Teste3.mph
% Version:            COMS,OL 5.5.0.292,
% Date:               Dec,"14 2024, 10:58",
% Dimension:          2,,
% Nodes:              1108,,
% Expressions:        1,,
% Description:        Surf,ace,
% surf3x,surf3y,Color
860.000000000112,3766.6666666666665,0.7933137511588049
805.963369897787,3786.0951277743766,0.5128193603961468
751.926739795462,3805.5235888820853,0.2323249696334886
697.890109693137,3824.952049989795,-0.04816942112916956
860.000000000121,3844.444444444445,1.1414346986590485
805.963369897796,3863.872905552154,0.8609403078963902
751.92673979547,3883.3013666598627,0.5804459171337321
860.00000000013,3922.2222222222226,1.489555646159292
805.963369897804,3941.6506833299313,1.2090612553966338
860.000000000138,4000,1.8376765936595356
678.587484135646,3642.234117798014,-0.07978217874818481
739.058322757135,3683.711634087565,0.2112497978874784
799.529161378624,3725.1891503771153,0.5022817745231417
739.058322757135,3605.933856309787,0.08523327570600785
799.529161378624,3647.411372599338,0.37626525234167113
860.000000000112,3688.888888888889,0.6672972289773343
799.529161378624,3569.6335948215606,0.2502487301602005
860.000000000112,3611.1111111111113,0.5412807067958637
860.000000000112,3533.3333333333335,0.4152641846143932
691.455901173973,3764.0460725925345,-0.05870700700217465
745.492531276299,3744.6176114848254,0.22178738376048351
685.02169265481,3703.140095195274,-0.06924459287517973
689.915685876393,-41.364002537496994,0.6710293863104557
746.610457250967,-16.464890580553565,-0.4984268765300342
803.30522862554,8.434221376389866,-1.6678831393705242
860.000000000113,33.3333333333333,-2.8373394022110143
746.610457250973,-94.24266835833133,0.4043110323909129
803.305228625546,-69.3435564013879,-0.765145230449577
860.000000000119,-44.44444444444446,-1.9346014932900673
803.305228625552,-147.12133417916564,0.13759267847137002
860.000000000125,-122.22222222222221,-1.03186358436912
860.000000000131,-199.99999999999997,-0.12912567544817286
665.422851311177,-94.24266835833134,0.5608072518286965
722.117622685756,-147.12133417916564,0.2940888979091536
778.812394060335,-199.99999999999997,0.027370543989610696
640.93001674596,-147.12133417916567,0.4505851173469371
697.624788120539,-199.99999999999997,0.18386676342739425
616.437182180743,-200,0.3403629828651778
622.416883344499,4000,-0.11940135992520405
701.611255563045,4000,0.5329579579363758
780.805627781592,4000,1.1853172757979555
647.574625460711,3941.650683329932,-0.09565738032652589
726.768997679258,3941.650683329932,0.5567019375350539
672.732367576924,3883.301366659863,-0.07191340072784773
860.000000000113,68.8407518025634,-1.7078952907019698
860.000000000113,104.34817027179349,-0.5784511791929251
860.000000000113,139.8555887410236,0.5509929323161195
860.000000000113,111.1111111111111,-3.1514237506228047
784.470624275448,146.6185295803412,-2.02197963911376
784.470624275448,182.1259480495713,-0.8925355276047151
784.470624275448,188.8888888888889,-3.4655080990345946
708.941248550783,224.396307358119,-2.33606398752555
708.941248550783,266.66666666666674,-3.779592447446385
633.411872826119,19.04252788867653,0.6310172349790103
793.543381335564,79.44905831485006,0.591005083647565
727.086762671016,43.94163984561997,-0.5384390278614797
660.630144006467,499.9999999999999,-4.150729897828476
860.000000000113,422.22222222222223,-4.027017414367779
793.543381335564,344.44444444444446,-3.903304930907082
727.086762671016,463.49274870534344,-2.5771198081017683
860.000000000113,385.7149709275657,-2.4534073246410717
793.543381335564,307.93719314978796,-2.329694841180375
651.557386946351,426.98549741068695,-1.0035097183750619
642.484629886235,349.2077196329092,-0.879797234914365
718.014005610899,390.47824611603045,0.5701003713516447
680.153838586418,223.39647453269257,0.5573620786612947
670.391991296443,306.93736032436146,0.5637312250064698
736.848609960991,265.66683384124025,-0.8861663812595401
626.639424946975,3813.980593790829,-0.035667588640617934
555.388740200814,3803.009137591862,-0.023165756152066296
484.138055454652,3792.0376813928956,-0.01066392366351466
601.481682830763,3872.3299104608964,-0.05941156823929609
530.230998084601,3861.3584542619305,-0.04690973575074445
576.32394071455,3930.679227130965,-0.08315554783797424
620.205216427812,3753.0746163935682,-0.046205174513623014
613.771007908648,3692.1686389963074,-0.05674276038662809
548.95453168165,3742.1031601946015,-0.03370334202507137
860.000000000112,2833.3333333333335,-3.197146668336954
786.863877970397,2862.1768733831614,-1.6131700035203969
713.727755940682,2891.020413432989,-0.02919333870383974
640.591633910966,2919.8639534828167,1.5547833261127175
860.000000000112,2911.1111111111118,-3.443681957059452
786.863877970397,2939.954651160939,-1.8597052922428947
713.727755940682,2968.7981912107666,-0.27572862742633764
860.000000000112,2988.8888888888896,-3.6902172457819495
786.863877970397,3017.732428938717,-2.106240580965393
860.000000000112,3066.6666666666674,-3.9367525345044476
860.000000000113,2599.9999999999995,-1.4152144901714658
786.747737811832,2638.1019387229135,-0.11826214411949221
713.495475623551,2676.2038774458274,1.1786902019324814
640.24321343527,2714.3058161687404,2.4756425479844553
860.000000000113,2677.777777777778,-2.0091918828932953
786.747737811832,2715.8797165006913,-0.7122395368413216
713.495475623551,2753.981655223605,0.584712809210652
860.000000000112,2755.5555555555557,-2.603169275615125
786.747737811832,2793.6574942784687,-1.306216929563151
640.475493752401,2851.344574378125,1.8617364000699634
713.611615782116,2822.501034328297,0.27775973525340625
640.359353593835,2782.825195273432,2.168689474027209
860.000000000113,2366.666666666667,-8.162856645030132
788.579595876995,2399.374074711857,-6.725287726841044
717.159191753878,2432.0814827570457,-5.287718808651956
645.73878763076,2464.788890802235,-3.8501498904628675
860.000000000113,2444.444444444445,-5.913642593410577
788.579595876995,2477.151852489634,-4.476073675221489
717.159191753878,2509.859260534823,-3.0385047570324
860.000000000113,2522.222222222222,-3.664428541791022
